F:\New folder\IMG\center_2019_01_22_18_03_00_969.jpg,F:\New folder\IMG\left_2019_01_22_18_03_00_969.jpg,F:\New folder\IMG\right_2019_01_22_18_03_00_969.jpg,0,0,0,4.041007
F:\New folder\IMG\center_2019_01_22_18_03_01_039.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_039.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_039.jpg,0,0,0,4.008532
F:\New folder\IMG\center_2019_01_22_18_03_01_108.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_108.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_108.jpg,0,0,0,3.984346
F:\New folder\IMG\center_2019_01_22_18_03_01_179.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_179.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_179.jpg,0,0,0,3.952324
F:\New folder\IMG\center_2019_01_22_18_03_01_246.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_246.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_246.jpg,0,0,0,3.928477
F:\New folder\IMG\center_2019_01_22_18_03_01_317.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_317.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_317.jpg,0,0,0,3.896905
F:\New folder\IMG\center_2019_01_22_18_03_01_387.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_387.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_387.jpg,0,0.1183135,0,3.912205
F:\New folder\IMG\center_2019_01_22_18_03_01_456.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_456.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_456.jpg,0,0.360848,0,4.137424
F:\New folder\IMG\center_2019_01_22_18_03_01_525.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_525.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_525.jpg,0,0.5498077,0,4.460073
F:\New folder\IMG\center_2019_01_22_18_03_01_595.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_595.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_595.jpg,0,0.7775064,0,5.082427
F:\New folder\IMG\center_2019_01_22_18_03_01_662.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_662.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_662.jpg,0,0.9598864,0,5.697227
F:\New folder\IMG\center_2019_01_22_18_03_01_731.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_731.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_731.jpg,0,1,0,6.38578
F:\New folder\IMG\center_2019_01_22_18_03_01_799.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_799.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_799.jpg,0,1,0,7.300801
F:\New folder\IMG\center_2019_01_22_18_03_01_867.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_867.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_867.jpg,0,1,0,7.982384
F:\New folder\IMG\center_2019_01_22_18_03_01_935.jpg,F:\New folder\IMG\left_2019_01_22_18_03_01_935.jpg,F:\New folder\IMG\right_2019_01_22_18_03_01_935.jpg,0,1,0,8.884903
F:\New folder\IMG\center_2019_01_22_18_03_02_003.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_003.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_003.jpg,0,1,0,9.557244
F:\New folder\IMG\center_2019_01_22_18_03_02_070.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_070.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_070.jpg,0,1,0,10.2257
F:\New folder\IMG\center_2019_01_22_18_03_02_137.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_137.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_137.jpg,0,1,0,11.11061
F:\New folder\IMG\center_2019_01_22_18_03_02_204.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_204.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_204.jpg,0,1,0,11.60592
F:\New folder\IMG\center_2019_01_22_18_03_02_271.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_271.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_271.jpg,0,1,0,12.46333
F:\New folder\IMG\center_2019_01_22_18_03_02_340.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_340.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_340.jpg,0,1,0,13.17033
F:\New folder\IMG\center_2019_01_22_18_03_02_408.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_408.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_408.jpg,0,1,0,13.85267
F:\New folder\IMG\center_2019_01_22_18_03_02_480.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_480.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_480.jpg,0,1,0,14.60994
F:\New folder\IMG\center_2019_01_22_18_03_02_549.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_549.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_549.jpg,0,1,0,15.55944
F:\New folder\IMG\center_2019_01_22_18_03_02_622.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_622.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_622.jpg,0,1,0,16.3928
F:\New folder\IMG\center_2019_01_22_18_03_02_689.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_689.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_689.jpg,0,1,0,16.78595
F:\New folder\IMG\center_2019_01_22_18_03_02_758.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_758.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_758.jpg,0,1,0,17.63456
F:\New folder\IMG\center_2019_01_22_18_03_02_825.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_825.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_825.jpg,0,1,0,18.44287
F:\New folder\IMG\center_2019_01_22_18_03_02_893.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_893.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_893.jpg,0,1,0,18.89935
F:\New folder\IMG\center_2019_01_22_18_03_02_961.jpg,F:\New folder\IMG\left_2019_01_22_18_03_02_961.jpg,F:\New folder\IMG\right_2019_01_22_18_03_02_961.jpg,0,1,0,19.73113
F:\New folder\IMG\center_2019_01_22_18_03_03_029.jpg,F:\New folder\IMG\left_2019_01_22_18_03_03_029.jpg,F:\New folder\IMG\right_2019_01_22_18_03_03_029.jpg,0,1,0,20.45024
