,name,value
0,forward1.png,1
1,forward2.png,1
2,forward3.png,1
3,forward4.png,1
4,forward5.png,1
5,forward6.png,1
6,forward7.png,1
7,forward8.png,1
8,forward9.png,1
9,forward10.png,1
10,forward11.png,1
11,forward12.png,1
12,forward13.png,1
13,forward14.png,1
14,forward15.png,1
15,forward16.png,1
16,forward17.png,1
17,forward18.png,1
18,forward19.png,1
19,forward20.png,1
20,forward21.png,1
21,forward22.png,1
22,forward23.png,1
23,forward24.png,1
24,forward25.png,1
25,forward26.png,1
26,forward27.png,1
27,forward28.png,1
28,forward29.png,1
29,forward30.png,1
30,forward31.png,1
31,forward32.png,1
32,forward33.png,1
33,forward34.png,1
34,forward35.png,1
35,forward36.png,1
36,forward37.png,1
37,forward38.png,1
38,forward39.png,1
39,forward40.png,1
40,forward41.png,1
41,forward42.png,1
42,forward43.png,1
43,forward44.png,1
44,Forward Right45.png,6
45,Right46.png,3
46,Right47.png,3
47,Right48.png,3
48,Right49.png,3
49,Right50.png,3
50,Right51.png,3
51,Right52.png,3
52,Right53.png,3
53,Forward Right54.png,6
54,Forward Right55.png,6
55,Forward Right56.png,6
56,Forward Right57.png,6
57,Forward Right58.png,6
58,Forward Right59.png,6
59,Forward Right60.png,6
60,Forward Right61.png,6
61,Forward Right62.png,6
62,Forward Right63.png,6
63,Forward Right64.png,6
64,Forward Right65.png,6
65,Forward Right66.png,6
66,Forward Right67.png,6
67,Forward Right68.png,6
68,Forward Right69.png,6
69,Forward Right70.png,6
70,Forward Right71.png,6
71,forward72.png,1
72,Reverse73.png,2
73,Reverse74.png,2
74,Reverse75.png,2
75,Reverse76.png,2
76,Reverse77.png,2
77,Reverse78.png,2
78,Reverse79.png,2
79,Reverse80.png,2
80,Reverse81.png,2
81,Reverse82.png,2
82,Reverse83.png,2
83,Reverse84.png,2
84,Reverse85.png,2
85,Reverse86.png,2
86,Reverse87.png,2
87,Reverse88.png,2
88,Reverse89.png,2
89,Reverse90.png,2
90,Reverse91.png,2
91,Reverse92.png,2
92,Reverse93.png,2
